"Regdno","subcode","Subname","Grade","Credits"
"15A91A0171","R1632011","DESIGN & DRAWING OF STEEL STRUCTURES","C","3"
"15A91A0171","R1632012","GEOTECHNICAL ENGINEERING - I","B","3"
"15A91A0171","R1632013","ENVIRONMENTAL ENGINEERING -I","D","3"
"15A91A0171","R1632014","WATER RESOURCE ENGINEERING -I","D","3"
"15A91A0171","R1632016","GEOTECHNICAL ENGINEERING LAB","C","2"
"15A91A0171","R1632017","ENVIRONMENTAL ENGINEERING LAB","B","2"
"15A91A0171","R1632018","COMPUTER AIDED ENGINEERING LAB","C","2"
"15A91A0171","R163201C","ALTERNATIVE ENERGY SOURCES","D","3"
